driver_id,variant_family,gate_key,gate_category,gate_purpose,expression,blocking_if_false,notes
bank.home-loan.eligible.single,bank_home_loan,payload_valid,payload,Payload schema valid / required fields present,payload.valid == true,yes,Strict payload schema should enforce required borrower/loan/property fields
bank.home-loan.eligible.single,bank_home_loan,required_present,checklist,All required checklist items are present (not missing),checklist.required_present == true,yes,Blocks progression to READY_FOR_REVIEW if any required item is missing
bank.home-loan.eligible.single,bank_home_loan,required_accepted,checklist,All required checklist items are accepted (docs reviewed; signals satisfied via checklist items),checklist.required_accepted == true,yes,If any required doc is pending review/rejected; this stays false
bank.home-loan.eligible.single,bank_home_loan,approvals_ready,signals,All required approval signals satisfied,signal._all_satisfied == true,yes,Relies on checklist signal items marked required:true
bank.home-loan.eligible.single,bank_home_loan,evidence_ready,composite,Payload + required items accepted,gate.payload_valid && gate.required_accepted,yes,Intermediate gate for debugging: is it payload or checklist?
bank.home-loan.eligible.single,bank_home_loan,settleable,composite,Loan take-out may proceed to lock/settle,gate.evidence_ready && gate.approvals_ready && !checklist.has_rejected,yes,Final gate; keep explicit !has_rejected for clarity even if implied by required_accepted
bank.home-loan.eligible.married,bank_home_loan,payload_valid,payload,Payload schema valid / required fields present,payload.valid == true,yes,Includes spouse fields if schema requires them
bank.home-loan.eligible.married,bank_home_loan,required_present,checklist,All required checklist items are present (not missing),checklist.required_present == true,yes,Marriage certificate + spouse ID typically required
bank.home-loan.eligible.married,bank_home_loan,required_accepted,checklist,All required checklist items are accepted,checklist.required_accepted == true,yes,Spouse docs often require human review
bank.home-loan.eligible.married,bank_home_loan,approvals_ready,signals,All required approval signals satisfied,signal._all_satisfied == true,yes,Includes spouse_consent_captured if marked required in checklist
bank.home-loan.eligible.married,bank_home_loan,evidence_ready,composite,Payload + required items accepted,gate.payload_valid && gate.required_accepted,yes,
bank.home-loan.eligible.married,bank_home_loan,settleable,composite,Loan take-out may proceed to lock/settle,gate.evidence_ready && gate.approvals_ready && !checklist.has_rejected,yes,
bank.home-loan.eligible.widower,bank_home_loan,payload_valid,payload,Payload schema valid / required fields present,payload.valid == true,yes,Widower schema may omit spouse consent but include spouse linkage fields
bank.home-loan.eligible.widower,bank_home_loan,required_present,checklist,All required checklist items are present (not missing),checklist.required_present == true,yes,Death certificate required; marriage certificate may be optional per policy
bank.home-loan.eligible.widower,bank_home_loan,required_accepted,checklist,All required checklist items are accepted,checklist.required_accepted == true,yes,Death certificate is a legal doc → review:required
bank.home-loan.eligible.widower,bank_home_loan,approvals_ready,signals,All required approval signals satisfied,signal._all_satisfied == true,yes,
bank.home-loan.eligible.widower,bank_home_loan,evidence_ready,composite,Payload + required items accepted,gate.payload_valid && gate.required_accepted,yes,
bank.home-loan.eligible.widower,bank_home_loan,settleable,composite,Loan take-out may proceed to lock/settle,gate.evidence_ready && gate.approvals_ready && !checklist.has_rejected,yes,
bank.home-loan.eligible.separated,bank_home_loan,payload_valid,payload,Payload schema valid / required fields present,payload.valid == true,yes,Should capture civil status + decree metadata
bank.home-loan.eligible.separated,bank_home_loan,required_present,checklist,All required checklist items are present (not missing),checklist.required_present == true,yes,Court decree required; often additional title/property regime docs
bank.home-loan.eligible.separated,bank_home_loan,required_accepted,checklist,All required checklist items are accepted,checklist.required_accepted == true,yes,Expect many docs in review:required
